,idMonitoringOrdersAlarm,createdOn_x,idWorkOrder,latitude,longitude,IdCondition,Status,EventName,Unnamed: 0,idCompany,idStatus,createdOn_y,updatedOn,idDriver,idVehicle,idTypeTrip,idTypeOperation,transporter,currentLocation,totalArrivalTime,totalDistance,arrivalDistance,arrivalTime,updateTravelOn,tripNumber,businessName,typeCompanie,idCity,idCompanyParent,city_name,city_lon,city_lat,codeCity_mod,status_name,type_trip_name,operation_type_description,transporter_name,month
30500,61387985,2020-08-26 06:51:48,288286,4.942728,-74.01607,0,0,Excesos de velocidad,23305,43826,22.0,2020-08-25 10:22:50.673,2020-08-28 07:37:11.397,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",33574.0,199915.0,197985.0,545.0,2020-08-28 07:33:51.0,613508823,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
30501,61469206,2020-08-26 15:55:08,288286,4.949722,-74.01465,0,0,Excesos de velocidad,23305,43826,22.0,2020-08-25 10:22:50.673,2020-08-28 07:37:11.397,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",33574.0,199915.0,197985.0,545.0,2020-08-28 07:33:51.0,613508823,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
30502,61387070,2020-08-26 06:46:13,288286,4.995682,-73.99918000000001,0,0,Excesos de velocidad,23305,43826,22.0,2020-08-25 10:22:50.673,2020-08-28 07:37:11.397,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",33574.0,199915.0,197985.0,545.0,2020-08-28 07:33:51.0,613508823,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
31726,61387068,2020-08-26 06:46:13,288274,4.995682,-73.99918000000001,0,0,Excesos de velocidad,23299,43826,22.0,2020-08-25 10:18:28.330,2020-08-28 07:36:30.14,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",8567.0,61915.0,30383.0,76.0,2020-08-28 07:28:56.0,613511078,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
31727,61469207,2020-08-26 15:55:08,288274,4.949722,-74.01465,0,0,Excesos de velocidad,23299,43826,22.0,2020-08-25 10:18:28.330,2020-08-28 07:36:30.14,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",8567.0,61915.0,30383.0,76.0,2020-08-28 07:28:56.0,613511078,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
31728,61387984,2020-08-26 06:51:47,288274,4.942728,-74.01607,0,0,Excesos de velocidad,23299,43826,22.0,2020-08-25 10:18:28.330,2020-08-28 07:36:30.14,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",8567.0,61915.0,30383.0,76.0,2020-08-28 07:28:56.0,613511078,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
35140,61367421,2020-08-26 03:59:56,288186,6.179404,-75.59203000000001,0,0,Excesos de velocidad,23288,43826,22.0,2020-08-25 08:48:05.567,2020-08-28 07:30:33.363,64482.0,104861.0,2.0,1481,50386.0,"Carrera 53 129 S-18, 055440 Caldas, Colombia",3830.0,26243.0,26243.0,63.0,2020-08-28 07:25:39.0,613509991,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
35141,61597734,2020-08-27 09:08:51,288186,6.258496,-75.57417,0,0,Excesos de velocidad,23288,43826,22.0,2020-08-25 08:48:05.567,2020-08-28 07:30:33.363,64482.0,104861.0,2.0,1481,50386.0,"Carrera 53 129 S-18, 055440 Caldas, Colombia",3830.0,26243.0,26243.0,63.0,2020-08-28 07:25:39.0,613509991,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
36263,61659398,2020-08-27 16:02:38,288178,4.432426,-75.22201,0,0,Excesos de velocidad,23287,43826,22.0,2020-08-28 11:10:14.257,2020-08-29 19:37:00.49,66274.0,107107.0,2.0,1481,50386.0,"Carrera 12 Sur 93-388, 730005 Ibagué, Colombia",13935.0,87710.0,77530.0,205.0,2020-08-29 19:20:41.0,613509496,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
36264,61958674,2020-08-29 13:43:27,288178,4.424795,-75.18259,0,0,Excesos de velocidad,23287,43826,22.0,2020-08-28 11:10:14.257,2020-08-29 19:37:00.49,66274.0,107107.0,2.0,1481,50386.0,"Carrera 12 Sur 93-388, 730005 Ibagué, Colombia",13935.0,87710.0,77530.0,205.0,2020-08-29 19:20:41.0,613509496,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
37689,61474450,2020-08-26 16:40:34,288172,2.5428319999999998,-75.50184,0,0,Excesos de velocidad,23285,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
37690,61484355,2020-08-26 18:11:40,288172,2.137494,-75.71059,0,0,Excesos de velocidad,23285,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
37691,61472768,2020-08-26 16:25:20,288172,2.669305,-75.3345,0,0,Excesos de velocidad,23285,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
37692,61484177,2020-08-26 18:11:27,288172,2.123135,-75.73175,0,0,Excesos de velocidad,23285,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
37693,61488874,2020-08-26 18:48:11,288172,1.964753,-75.79904,0,0,Excesos de velocidad,23285,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
42391,61157920,2020-08-24 14:52:10,286400,6.349416000000001,-75.51653,0,0,Excesos de velocidad,23280,43826,22.0,2020-08-27 10:45:15.847,2020-08-28 07:26:13.013,67001.0,109265.0,2.0,1481,50386.0,"Calle 124 51D-41, 050001 Medellín, Colombia",4932.0,44210.0,22994.0,42.0,2020-08-28 07:23:42.0,613510516,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
45474,61154084,2020-08-24 14:21:15,285230,4.845516,-74.03128000000001,0,0,Excesos de velocidad,23252,43826,22.0,2020-08-24 11:50:19.180,2020-08-28 07:24:18.937,64083.0,110479.0,2.0,1481,50386.0,"Carrera 123 13D-90, 110921 Bogotá, D.C., Colombia",39827.0,237125.0,219620.0,611.0,2020-08-28 07:03:37.0,613506865,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
45475,61554344,2020-08-27 05:26:16,285230,4.852371,-74.02959,0,0,Excesos de velocidad,23252,43826,22.0,2020-08-24 11:50:19.180,2020-08-28 07:24:18.937,64083.0,110479.0,2.0,1481,50386.0,"Carrera 123 13D-90, 110921 Bogotá, D.C., Colombia",39827.0,237125.0,219620.0,611.0,2020-08-28 07:03:37.0,613506865,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
45476,61556441,2020-08-27 05:37:07,285230,4.910237,-74.00114,0,0,Excesos de velocidad,23252,43826,22.0,2020-08-24 11:50:19.180,2020-08-28 07:24:18.937,64083.0,110479.0,2.0,1481,50386.0,"Carrera 123 13D-90, 110921 Bogotá, D.C., Colombia",39827.0,237125.0,219620.0,611.0,2020-08-28 07:03:37.0,613506865,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
