"idCompany","businessName","identification","phone1","address1","enable","createdOn","updatedOn","idTypeIdentification","typeCompanie","contactSurname","ContactSsurname","email","idCity","contactCargo","contactName","contactPhone","idCompanyParent","timeZone","codeCompanyWS","WebSite","IntegrationSoftware","IPConnect","Phoneextension","SofwareProvider"
1,Comseguridad SAS,"2323","1232322",Medrano 36 - 69,1,"2016-11-12 00:00:00.0","2017-01-19 14:23:54.95",1,GC,,,,1126,,,,,SA Pacific Standard Time,wsComseguridad,,,,,
98,RC WS,"900491564","7630229",CARRERA 42 Nª 15 - 496,1,"2017-04-28 15:20:47.57","2019-04-29 10:49:24.643",3,GC,TORRES,,tcc@demo.com,1126,COORDINADORA DE HSEQ,XIMENA,"3102346888",1,SA Pacific Standard Time,"57RC",,,,,
2344,GRUPO FAMILIA,"890900161","3609500",Calle 6 #28-195,1,"2017-11-03 09:27:20.05","2020-08-12 13:56:35.377",3,GC,ARBOLEDA,GIRALDO,juanag@familia.com.co,1126,,JUAN FERNANDO,"3206762216",1,SA Pacific Standard Time,,,,,,
9901,INTERCARGUEROS ANDINOS S.A.S,"800214243","235 98 98",Barrio Trinidad Calle 27A # 54 - 40 Medellín,1,"2018-04-17 14:00:07.593","2018-05-03 16:30:51.797",3,ET,Ramirez,Mesa,coordinadortics@interandinos.com,1126,Coordinador TICs,Mauricio,"235 98 98",1,SA Pacific Standard Time,"57Interandinos",,,,,
11132,C.I. MILPA S.A.,"860513970","3132829977",AV.CRA 45 No 118 -30 OF 503,1,"2018-05-23 10:35:52.203","2020-02-11 13:52:45.123",3,GC,C.I. MILPA S.A.,C.I. MILPA S.A.,wlopez@milpa.com.co,1274,GENERADOR DE CARGA,C.I. MILPA S.A.,"3132829977",1,SA Pacific Standard Time,"15",,,,,
23706,AMBIENTE TEST CT,"9000000008887","5765542",Carrera 42 # 75 63,1,"2018-09-27 15:29:34.797","2020-04-02 11:10:56.817",1,GC,AMBIENTE TEST CT,AMBIENTE TEST CT,CT@TEST.COM,1126,LOGISTICA,AMBIENTE TEST CT,"5765542",1,SA Pacific Standard Time,"57CT",,,,,
27955,DIACO S.A.,"891800111-5","6003900",CRA 87#19 A 27,1,"2018-11-30 07:06:59.22","2020-07-06 16:24:05.607",3,GC,EDWIN JAVIER.,CARVAJAL ALEGRIA.,Javier.carvajal@gerdau.com,1274,Gestión de Carga,DIACO S.A.,"3168766886",1,SA Pacific Standard Time,"57DiacoSA",WWW.GERDAU.COM.CO,,"190.248.14.35,190.248.58.197",,
27956,ACERIAS DE COLOMBIA ACESCO S.A.S,"860026753-0","3125851817",KM 3 CARRETERA MALAMBO VIA SABANAGRANDE – PIMSA,1,"2018-11-30 07:11:23.57","2018-11-30 07:11:23.57",3,GC,Lissette María,Torres González,ltorresg@acesco.com,1251,Gestión de Carga,ACESCO,"1457896",1,SA Pacific Standard Time,"57Acerias",www.acesco.com,RC México,"162.242.251.13, 104.239.173.34",,RC México
34213,COLORQUIMICA S.A.S,"890917295",,"",1,"2019-02-06 07:47:18.093","2019-02-06 09:09:25.82",3,GC,,,,1274,,,,1,UTC-05:00,"57Colorquimica",,,,,
34382,CONTROL TRAFICO SATRACK,"323232445543","232242011",CALLE 20 89,1,"2019-02-25 12:13:20.53","2020-07-01 08:07:39.543",3,GC,CONTROL TRAFICO SATRACK,CONTROL TRAFICO SATRACK,info@satrack.com.co,1126,OPERACIONES,CONTROL TRAFICO SATRACK,"3213000032",1,SA Pacific Standard Time,,,,,,
34415,CONTROLT DEMO COMERCIAL,"900123900","900920201",MEDELLIN,1,"2019-03-11 10:32:22.057","2019-03-11 10:32:22.057",3,GC,CONTROLT DEMO COMERCIAL,CONTROLT DEMO COMERCIAL,juanDQX1913@hotmail.com,1126,COMERCIAL,CONTROLT DEMO COMERCIAL,"329909090",1,SA Pacific Standard Time,testWsCris,,,,,
34498,LINKARGA S.A,"2323232111","4440413124",CRA 20 35,1,"2019-04-12 08:10:17.977","2019-04-12 15:13:35.673",3,GC,LINK CARGA S.A,LINK CARGA S.A,edwin.rendon@linkarga.com,1126,OPERACIONES,LINK CARGA S.A,"3145370387",1,SA Pacific Standard Time,"4343",,,,,
36756,INGREDION,"890301690","444444",CRA 20 30,1,"2019-06-06 14:55:04.44","2020-04-17 08:30:59.477",3,GC,INGREDION,INGREDION,andres.orozco@ingredion.com,2131,LOGISTICA,INGREDION,"44444444",1,SA Pacific Standard Time,,,,,,
38046,GRUPO ORBIS,"8600253723","3567000",Calle 19 A #43B-41,1,"2019-09-24 13:10:38.903","2020-07-30 15:51:39.633",3,GC,GRUPO ORBIS,GRUPO ORBIS,juanDQX1913@hotmail.com,1126,OPERACIONES,GRUPO ORBIS,"3567000",1,SA Pacific Standard Time,"57Orbis",,,,,
38110,TENARIS TUBOCARIBE LTDA.,"90003434","899898",Cartagena,1,"2019-09-27 07:32:03.37","2020-09-11 09:50:15.45",3,GC,MOGOLLON,DÍAZ,nmogollon@tenaris.com,1126,OPERACIONES,NATHALIA,"8989898989",1,SA Pacific Standard Time,"57Tenaris",,,,,
43466,EDUARDO BOTERO SOTO S.A.,"8909013215","5765555","Carrera 42 # 75 - 63.  Autopista sur, Itagüí, Antioquia",1,"2019-10-17 14:21:29.303","2019-10-17 14:21:29.303",3,GC,EDUARDO BOTERO SOTO S.A.,EDUARDO BOTERO SOTO S.A.,BOTEROSOTO@CT.COM,1184,Operacion,EDUARDO BOTERO SOTO S.A.,"5765555",24854,SA Pacific Standard Time,,,,,,
43685,TRANSPORTES ALEX,"8001878071","3107648944",Carrera 43B # 22A-33 Bogota,1,"2019-11-12 08:52:14.843","2019-11-12 08:52:14.843",3,GC,TRANSPORTES ALEX,,eliana.gutierrez@transportestal.com,1274,NA,ELIANA,"3107648944",1,SA Pacific Standard Time,"57Transalex",,,,,
43826,OPPERAR COLOMBIA S.A.S.,"900743592-1",Actualizar,Actualizar,1,"2019-11-26 15:00:18.41","2019-11-26 15:00:18.41",3,ET,OPPERAR COLOMBIA S.A.S.,"","",1641, , , ,1,SA Pacific Standard Time,"57Nutresa",,,,,
46372,Transolicar,"900637363",Actualizar,km2 No. 176 av anillo vial florida blanca giron centro empresarial ecoparque natural of 202  ,1,"2020-01-22 13:56:30.707","2020-01-22 13:56:30.707",1,ET,Actualizar,Actualizar,Actualizar,1971,Actualizar,Actualizar,Actualizar,24854,Actualizar,"57Transolicar",Actualizar,Actualizar,Actualizar,Actualizar,Actualizar
46373,SUPPLA S.A,"890903295","018000180660","Av Calle 26 # 92-32 LT 5, G5- Piso 2,",1,"2020-01-22 14:18:15.967","2020-02-03 15:10:14.223",3,GC,SUPPLA S.A,SUPPLA S.A,alexander.rodriguez@suppla.com,1274,LOGISTICA,SUPPLA S.A,"018000180660",1,SA Pacific Standard Time,"57Suppla",,,,,
47264,MASTERCARGA SAS,"9001215614","5360984","CENTRO CIUDAD KARGA FASE 1, SECTOR AEROPUERTO RIONEGRO ANTIOQUIA",1,"2020-02-06 10:33:25.027","2020-02-06 10:33:25.027",3,GC,MASTERCARGA SAS,MASTERCARGA SAS,comercialml@mastersas.com.co,1126,ANALISTA ADMINISTRATIVO,MASTERCARGA SAS,"3157007268",1,SA Pacific Standard Time,"57Mastercarga",,,,,
47462,TRANSPORTES ALEX LTDA,"800187807",Actualizar,Actualizar,1,"2020-02-17 08:19:00.493","2020-02-17 08:19:00.493",1,GC,Actualizar,Actualizar,Actualizar,1126,Actualizar,Actualizar,Actualizar,1,Actualizar,,Actualizar,Actualizar,Actualizar,Actualizar,Actualizar
47568,Kuehne Nagel S.A,"800039996","3138314063",Calle 113 7-80,1,"2020-02-25 06:50:34.093","2020-02-25 06:50:34.093",3,GC,Kuehne Nagel S.A,Kuehne Nagel S.A,Harold.Rojas@Kuehne-Nagel.com,1126,OPERACIOONES,Kuehne Nagel S.A,"3138314063",1,SA Pacific Standard Time,,,,,,
47575,LOGÍSTICA MULTIMODAL ESPECIALIZADA - LME S.A.S.,"9010805398","6010126",Km 2 anillo vial Floridablanca Giron,1,"2020-02-25 21:24:09.647","2020-03-18 11:55:22.083",3,GC,LOGÍSTICA MULTIMODAL ESPECIALIZADA - LME S.A.S.,LOGÍSTICA MULTIMODAL ESPECIALIZADA - LME S.A.S.,comercial@logisticalme.com,2003,OPERACIONES,LOGÍSTICA MULTIMODAL ESPECIALIZADA - LME S.A.S.,"3213680769",,SA Pacific Standard Time,,,,,,
47618,COLOMBIANA DE COMERCIO S.A.,"1012355118","3208163135","Cl. 11 # 31a-42, Bogotá",1,"2020-03-02 08:52:34.803","2020-03-02 08:52:34.803",1,ET,Andrea Catherine,Actualizar,andrea.arenas@colcomercio.com.co,1274,Actualizar,Andrea Catherine,Actualizar,24854,Bogotá,"57Corbeta",https://www.corbeta.com.co/,Actualizar,Actualizar,Actualizar,Actualizar
48395,TENARIS TUBOCARIBE LTDA QA,"800011987300","3145954186","Parque Industrial Carlos Vélez Pombo. Km 1. Vía Turbaco, Cartagena;",1,"2020-04-01 08:29:27.927","2020-04-01 08:29:27.927",3,GC,TENARIS TUBOCARIBE LTDA QA,TENARIS TUBOCARIBE LTDA QA,nmogollon_QA@tenaris.com,1251,Logistica,TENARIS TUBOCARIBE LTDA QA,"3145954186",,SA Pacific Standard Time,"57Tenaris_test",,,,,
48397,COLOMBIANA DE COMERCIO S.A. QA,"890900943200","3208163135",Parque Industrial San Carlos II,1,"2020-04-01 08:34:55.033","2020-04-01 08:34:55.033",3,GC,COLOMBIANA DE COMERCIO S.A. QA,COLOMBIANA DE COMERCIO S.A. QA,andrea.arenasQA@colcomercio.com.co,1274,OPERACIONES QA,COLOMBIANA DE COMERCIO S.A. QA,"3208163135",,SA Pacific Standard Time,"57Corbeta_test",,,,,
48400,OPPERAR COLOMBIA S.A.S. QA,"9007435921000","3107648944",Medellin,1,"2020-04-01 10:10:30.383","2020-04-01 10:10:30.383",3,GC,OPPERAR COLOMBIA S.A.S. QA,OPPERAR COLOMBIA S.A.S. QA,vperezQA@opperar.com,1126,Lider de Proyecto,OPPERAR COLOMBIA S.A.S. QA,"3107648944",,SA Pacific Standard Time,"57N_test",,,,,
58830,Transcomin S A S,"9004881079","3232055331",AVENIDA 7 0 C 51,1,"2020-06-24 10:41:39.043","2020-06-24 10:41:39.043",3,GC,Zuluaga,A,comercial@transcomin.com.co,1126,Operaciones,Cesar,"3232055331",1,SA Pacific Standard Time,"57Transcomin",,,,,
162540,MADECENTRO COLOMBIA SAS,"8110286501","0",AVENIDA 7 0 C 51,1,"2020-08-26 09:33:39.217","2020-08-26 09:33:39.217",3,GC,MADECENTRO COLOMBIA SAS,MADECENTRO COLOMBIA SAS,comercial@tran.com.co,1126,Operaciones,MADECENTRO COLOMBIA SAS,"0000000",1,SA Pacific Standard Time,,,,,,
228960,Logistica Y Entrega De Carga S Loencarga S A S,"9004718104","3007760600",Medellin,1,"2020-09-29 09:51:51.047","2020-09-29 09:56:44.953",3,ET,,,jefeadministrativo@loencarga.com,1126,Jefe Administrativa,Loencarga,"3007760600",1,SA Pacific Standard Time,"57Loencarga",,,,,
