,Unnamed: 0,idMonitoringOrdersAlarm,createdOn_x,idWorkOrder,latitude,longitude,IdCondition,Status,EventName,idCompany,idStatus,createdOn_y,updatedOn,idDriver,idVehicle,idTypeTrip,idTypeOperation,transporter,currentLocation,totalArrivalTime,totalDistance,arrivalDistance,arrivalTime,updateTravelOn,tripNumber,businessName,typeCompanie,idCity,idCompanyParent,city_name,city_lon,city_lat,codeCity_mod,status_name,type_trip_name,operation_type_description,transporter_name,month,weekMonth,weekDay,grouped_hours,LabelAlarm
1651695,1651695,61478205,2020-08-26 17:13:17.920,288172,2.395674,-75.54001,0,0,Aproximación al destino por distancia,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8,5,2,2.0,0
1767499,1767499,68098497,2020-10-03 07:24:24.000,313337,3.5340910000000005,-73.59603,0,0,Vehículo inició marcha,43826,22.0,2020-10-02 07:00:24.833,2020-10-05 14:28:48.72,69849.0,112027.0,3.0,1485,50386.0,"Carrera 4 10-49, 501001 Barranca de Upía, Colombia",1373688.0,13662446.0,13662446.0,22878.0,2020-10-05 14:17:02.0,613529112,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Regional,VIAJERA_SE,IMBOCAR S.A.S,10,1,5,1.0,0
1655956,1655956,61236920,2020-08-25 07:42:32.000,285183,4.435435,-74.38515,0,0,Vehículo inició marcha,43826,22.0,2020-08-22 07:25:28.953,2020-08-28 07:23:55.183,64083.0,110471.0,2.0,1481,50386.0,"Carrera 10 7-128, 250030 Madrid, Colombia",21303.0,163597.0,163597.0,353.0,2020-08-28 07:23:46.0,613505434,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8,5,1,1.0,0
1039008,1039008,59187734,2020-08-13 10:34:02.143,276204,8.10361,-73.56613,0,0,Fuera de ruta,27955,22.0,2020-08-05 10:44:30.230,2020-08-13 17:49:41.92,54708.0,77820.0,9.0,1331,37219.0,"45, 155209 Puerto Boyacá, Colombia",49712.0,501541.0,501541.0,828.0,2020-08-13 16:51:04.0,8122798648,DIACO S.A.,GC,1274,1.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,PRODUCTO TERMINADO,TRANSPORTADORA DE CARGA ANTIOQUIA S.A.S.,8,3,3,1.0,0
1526754,1526754,68866458,2020-10-07 13:19:14.730,312417,1.130172,-77.36498,0,0,Fuera de ruta,43826,22.0,2020-10-06 18:05:13.470,2020-10-08 15:58:56.667,69400.0,111761.0,3.0,1485,50386.0,"528503 San Andres de Tumaco, Colombia",78007.0,607027.0,245790.0,519.0,2020-10-08 15:59:49.0,613530906,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Regional,VIAJERA_SE,IMBOCAR S.A.S,10,2,2,2.0,0
951973,951973,59158539,2020-08-13 08:52:11.550,279365,10.06984,-75.07621,0,0,Fuera de ruta,11132,22.0,2020-08-11 11:53:39.670,2020-08-13 14:35:43.25,41890.0,46165.0,4.0,1187,22970.0,"130009 Cartagena, Colombia",88749.0,950071.0,950071.0,1478.0,2020-08-13 13:25:15.0,3017807,C.I. MILPA S.A.,GC,1274,1.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Nacional,EXPORTACION,TRANSPORTADORA SAN FERNANDO S.A.S,8,3,3,1.0,0
1651717,1651717,61472764,2020-08-26 16:25:00.000,288172,2.669305,-75.3345,0,0,Vehículo inició marcha,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8,5,2,2.0,0
948783,948783,59176123,2020-08-13 09:50:09.370,279452,8.89039,-75.74320999999998,0,0,Fuera de ruta,46372,22.0,2020-08-11 14:35:35.600,2020-08-14 14:51:42.563,67679.0,88486.0,4.0,1490,47189.0,"62, 057430 Dabeiba, Colombia",82507.0,908193.0,345230.0,480.0,2020-08-14 13:23:34.0,010000118938,Transolicar,ET,1971,24854.0,BUCARAMANGA,-73.13232523100001,7.122787285339999,68001,Finalizado,Nacional,GRANO,TRANSPORTE DE CARGA SOLIDA Y LIQUIDA,8,3,3,1.0,0
1563897,1563897,66818549,2020-09-25 13:16:27.497,307410,2.015009,-75.7808,0,0,Aproximación al destino por distancia,43826,22.0,2020-10-05 06:35:17.557,2020-10-05 08:18:09.86,66316.0,107145.0,3.0,1485,50386.0,"Carrera 1 70C, 410001 Neiva, Colombia",80448.0,758977.0,443850.0,841.0,2020-10-05 08:00:07.0,613527627,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Regional,VIAJERA_SE,IMBOCAR S.A.S,10,4,4,2.0,0
944401,944401,59184775,2020-08-13 10:22:12.173,279593,4.51379,-75.57813,0,0,Fuera de ruta,43685,22.0,2020-08-11 18:16:13.713,2020-08-15 07:37:41.24,62453.0,83542.0,4.0,1446,48619.0,"40, 733517 Flandes, Colombia",60801.0,558040.0,365740.0,688.0,2020-08-15 07:34:35.0,4684,TRANSPORTES ALEX,GC,1274,1.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Nacional,Carga Normal,TRANSPORTES ALEX LTDA,8,3,3,1.0,0
