"idVehicle","licensePlate"
112621, JRY998
106378, LAC317
106801, SMI467
106987, TJV553
109895, TRE264
109529,"0"
107200,"08HDAEE"
105673,"123ert"
112268,"15444544"
106161,"202003"
110714,"315DY3"
106258,"399XFY"
107201,"510JAH"
105489,"71682249"
103435,"774HHK"
103396,"774SAN"
109734,"999999"
109598,A
110282,A02AP6U
107207,A05AK8CC
107208,A13BX8D
107197,A81BX4K
108015,A81BX4KK
102932,AAA001
109374,AAA001
106472,AAA111
110673,AAA111
112183,AAA121
111537,AAA123
110713,AAA999
69125,ABC123
104907,ABC123
106785,ABC123
112701,ABC123
112810,ABC123
110300,AC
112764,AC317
111590,ACT123
110030,AD
110529,AE
99216,AEA521
104944,AFD166
112213,AGIL CARGO
112751,AHE365
99143,AHE456
109473,AHJ895
99142,AIH854
109342,AIR29F
109269,AIY30F
103102,AKG557
111631,AKH966
99313,AMI062
105675,anm234
82726,APA022
105359,apc123
99172,ARB129
109114,ARI784
110325,ASD123
105013,asd456
76498,ATA005
99303,ATA090
109385,ATF959
109886,AUTOCONSUMO
109273,AVC27E
109310,AVD63F
109394,AVZ80D
78251,AWK027
109320,AWK91E
75169,AWL050
107117,AXR312
111710,AZN109
109471,B
110411,BAA513
103366,BAP009
106377,BBJ002
111813,BBJ002
111897,BBJ002
109316,BBJ96
112193,BBX033
99229,BCE095
99272,BCE171
99155,BCJ341
99150,BDA000
106247,BDA006
110136,BDA220
84446,BDA352
99199,BDA521
106651,BDI945
79842,BEP456
104787,BEP456
109101,BGF037
110289,BGO134
110219,BGO174
97407,BGW222
106453,BIR293
106194,BIS666
106320,BIX66
81947,BIX666
109393,BKH69F
112616,BKY500
104921,bnm678
109403,BQC55
110846,BSY 391
110895,BUA207
110023,BUC000
106535,BWA343
110851,CAL123
74388,CAQ160
111640,CEB766
70353,CES123
107176,CESAR
109412,CFC378
109986,CFC872
111411,CGB068
109271,CGL59F
110745,CHH51F
99214,CID438
99290,CIG139
75827,CIG551
110502,CIG755
112849,CIH272
81421,CIK270
99284,CIM741
74478,CIN308
109780,CIY589
109753,CJC26F
110221,CKG800
109467,CKT704
112484,CLIENTE RECOGE
100171,CQS002
107017,CQS002
109630,CRD363
76191,CRF769
99119,CRI230
99432,CRV667
99239,CRY711
100061,CSX266
106295,CSX266
109404,CWT47F
109309,CZU81E
109472,D
109326,DCI62E
109414,DCV99E
83200,DET123
111406,DET666
111410,DET667
73748,DIM123
75063,DIM1913
74600,DIM345
74601,DIM789
105293,DJM123
106786,DJM193
73731,DJN756
112699,DJN766
112720,DJN788
109179,DLD28C
109288,DLW25C
112514,DSF006
75872,DTX123
109590,DTY584
76536,DUD481
76537,DUD482
110743,EDN26D
109287,EDU33F
112733,EEE000
109312,EEE04F
109177,EEW32F
109670,EFP02F
112415,EFV91F
111958,EJA021
106459,EKB984
97165,ELD989
110097,ELG348
109277,EOA83D
84167,eps016
109284,EPU76D
105164,EQN959
105171,EQN978
112129,EQO020
102791,EQO331
99407,EQO372
110496,EQO628
110091,EQP019
112406,EQP087
109338,EQP242
112119,EQP311
106672,EQP506
109452,EQP680
110152,EQP681
110117,EQP682
111925,EQP733
74547,EQP771
106973,EQP853
110790,EQP933
105387,EQP954
111694,EQQ008
75214,EQQ281
109536,EQQ391
102799,EQQ620
111500,EQQ6250
110284,EQQ727
109187,EQQ747
102919,EQQ798
110182,EQQ798
99221,EQQ886
97160,EQQ978
99185,EQR038
110340,EQR875
84432,EQR885
78546,EQR978
111615,EQT997
110229,EQW924
74448,EQX028
112860,EQX598
109696,EQX674
87913,EQY703
97176,EQY928
107051,EQY935
75437,EQZ036
109586,EQZ407
112858,EQZ444
109392,EQZ452
87240,EQZ562
99328,EQZ587
110467,EQZ711
99345,EQZ764
109578,EQZ890
75601,ERK075
105831,ERK075
46332,ERK100
111872,ERK210
109563,ERK241
87897,ERK302
97077,ERK516
99310,ERK593
112013,ERK678
112455,ERK679
110938,ERK853
105199,ERK873
87094,ERK921
98239,ERK924
109698,ERL534
109872,ERL536
109741,ERL832
99139,ERL850
109330,ERT65E
112343,ESK402
110018,ESK415
111790,ESK471
112857,ESK517
105787,ESK531
105114,ESP580
111852,ESP830
111868,esp843
98252,ESQ196
78188,ESQ393
82039,ESQ505
102249,ESQ681
105285,ESQ707
79300,ESQ826
102515,ESQ851
98637,ESQ932
84217,ESR324
102258,ESR364
108180,ESR364
102259,ESR430
97255,ESR576
87665,ESS277
79167,ESS318
105304,ESS372
110216,ESS413
75259,ESS610
83425,ESS645
108060,ESS710
107020,ESS806
71537,ESS814
73989,ESS834
83123,ESS949
86838,EST074
97375,EST100
112178,EST186
112139,EST227
106824,EST231
109023,EST231
112430,EST231
112791,EST254
